combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers
5,1.212154321372509,0.001,64.0,64.0,0.1,128.0,2.0
15,1.212218202650547,0.001,64.0,128.0,0.1,64.0,3.0
34,1.2122390866279602,0.0005,64.0,64.0,0.2,128.0,1.0
19,1.2123569548130035,0.001,64.0,128.0,0.2,64.0,1.0
39,1.2125042974948883,0.0005,64.0,128.0,0.1,64.0,3.0
16,1.212505578994751,0.001,64.0,128.0,0.1,128.0,1.0
10,1.2125409096479416,0.001,64.0,64.0,0.2,128.0,1.0
7,1.212555818259716,0.001,64.0,64.0,0.2,64.0,1.0
38,1.2125999554991722,0.0005,64.0,128.0,0.1,64.0,2.0
20,1.2126586511731148,0.001,64.0,128.0,0.2,64.0,2.0
33,1.2127096876502037,0.0005,64.0,64.0,0.2,64.0,3.0
24,1.2128053829073906,0.001,64.0,128.0,0.2,128.0,3.0
18,1.2128241658210754,0.001,64.0,128.0,0.1,128.0,3.0
14,1.2129136770963669,0.001,64.0,128.0,0.1,64.0,2.0
44,1.2129148095846176,0.0005,64.0,128.0,0.2,64.0,2.0
3,1.2129696682095528,0.001,64.0,64.0,0.1,64.0,3.0
2,1.2130296155810356,0.001,64.0,64.0,0.1,64.0,2.0
37,1.2131036445498466,0.0005,64.0,128.0,0.1,64.0,1.0
12,1.213119015097618,0.001,64.0,64.0,0.2,128.0,3.0
22,1.2131363078951836,0.001,64.0,128.0,0.2,128.0,1.0
11,1.213157370686531,0.001,64.0,64.0,0.2,128.0,2.0
4,1.2131574749946594,0.001,64.0,64.0,0.1,128.0,1.0
48,1.2133390083909035,0.0005,64.0,128.0,0.2,128.0,3.0
46,1.2133875042200089,0.0005,64.0,128.0,0.2,128.0,1.0
25,1.213426299393177,0.0005,64.0,64.0,0.1,64.0,1.0
8,1.213432714343071,0.001,64.0,64.0,0.2,64.0,2.0
17,1.2135459631681442,0.001,64.0,128.0,0.1,128.0,2.0
9,1.2135789543390274,0.001,64.0,64.0,0.2,64.0,3.0
26,1.213591754436493,0.0005,64.0,64.0,0.1,64.0,2.0
29,1.2136177122592926,0.0005,64.0,64.0,0.1,128.0,2.0
6,1.2136843502521515,0.001,64.0,64.0,0.1,128.0,3.0
32,1.2136871591210365,0.0005,64.0,64.0,0.2,64.0,2.0
35,1.2137044593691826,0.0005,64.0,64.0,0.2,128.0,2.0
31,1.2139510214328766,0.0005,64.0,64.0,0.2,64.0,1.0
40,1.2140538394451141,0.0005,64.0,128.0,0.1,128.0,1.0
28,1.2145663797855377,0.0005,64.0,64.0,0.1,128.0,1.0
1,1.214670591056347,0.001,64.0,64.0,0.1,64.0,1.0
27,1.214718833565712,0.0005,64.0,64.0,0.1,64.0,3.0
45,1.2152444943785667,0.0005,64.0,128.0,0.2,64.0,3.0
30,1.2154085636138916,0.0005,64.0,64.0,0.1,128.0,3.0
21,1.2155826389789581,0.001,64.0,128.0,0.2,64.0,3.0
42,1.2155865356326103,0.0005,64.0,128.0,0.1,128.0,3.0
43,1.2157726511359215,0.0005,64.0,128.0,0.2,64.0,1.0
23,1.2158359065651894,0.001,64.0,128.0,0.2,128.0,2.0
36,1.2163145542144775,0.0005,64.0,64.0,0.2,128.0,3.0
47,1.216378666460514,0.0005,64.0,128.0,0.2,128.0,2.0
41,1.216734640300274,0.0005,64.0,128.0,0.1,128.0,2.0
13,1.2173421457409859,0.001,64.0,128.0,0.1,64.0,1.0
