combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers
41,1.2102723121643066,0.0005,64.0,128.0,0.1,128.0,2.0
44,1.2103980034589767,0.0005,64.0,128.0,0.2,64.0,2.0
27,1.2111069411039352,0.0005,64.0,64.0,0.1,64.0,3.0
33,1.2111719697713852,0.0005,64.0,64.0,0.2,64.0,3.0
8,1.2112118378281593,0.001,64.0,64.0,0.2,64.0,2.0
32,1.211491048336029,0.0005,64.0,64.0,0.2,64.0,2.0
15,1.2115522995591164,0.001,64.0,128.0,0.1,64.0,3.0
45,1.2116163074970245,0.0005,64.0,128.0,0.2,64.0,3.0
18,1.2117029801011086,0.001,64.0,128.0,0.1,128.0,3.0
21,1.2117450833320618,0.001,64.0,128.0,0.2,64.0,3.0
3,1.2118350639939308,0.001,64.0,64.0,0.1,64.0,3.0
48,1.2118652537465096,0.0005,64.0,128.0,0.2,128.0,3.0
19,1.2119358852505684,0.001,64.0,128.0,0.2,64.0,1.0
12,1.2120285257697105,0.001,64.0,64.0,0.2,128.0,3.0
39,1.212029829621315,0.0005,64.0,128.0,0.1,64.0,3.0
30,1.2120336070656776,0.0005,64.0,64.0,0.1,128.0,3.0
14,1.2120717018842697,0.001,64.0,128.0,0.1,64.0,2.0
26,1.2120783030986786,0.0005,64.0,64.0,0.1,64.0,2.0
31,1.2121530920267105,0.0005,64.0,64.0,0.2,64.0,1.0
6,1.212303601205349,0.001,64.0,64.0,0.1,128.0,3.0
2,1.212346076965332,0.001,64.0,64.0,0.1,64.0,2.0
38,1.2123895362019539,0.0005,64.0,128.0,0.1,64.0,2.0
24,1.2124291956424713,0.001,64.0,128.0,0.2,128.0,3.0
23,1.2124981805682182,0.001,64.0,128.0,0.2,128.0,2.0
13,1.2125150486826897,0.001,64.0,128.0,0.1,64.0,1.0
9,1.212804302573204,0.001,64.0,64.0,0.2,64.0,3.0
17,1.2128094583749771,0.001,64.0,128.0,0.1,128.0,2.0
7,1.2131701558828354,0.001,64.0,64.0,0.2,64.0,1.0
16,1.2131786569952965,0.001,64.0,128.0,0.1,128.0,1.0
5,1.2131859883666039,0.001,64.0,64.0,0.1,128.0,2.0
34,1.2133315205574036,0.0005,64.0,64.0,0.2,128.0,1.0
1,1.2133417055010796,0.001,64.0,64.0,0.1,64.0,1.0
43,1.2134397402405739,0.0005,64.0,128.0,0.2,64.0,1.0
47,1.21344892680645,0.0005,64.0,128.0,0.2,128.0,2.0
20,1.2134977653622627,0.001,64.0,128.0,0.2,64.0,2.0
4,1.2135396748781204,0.001,64.0,64.0,0.1,128.0,1.0
28,1.2135992422699928,0.0005,64.0,64.0,0.1,128.0,1.0
29,1.213778056204319,0.0005,64.0,64.0,0.1,128.0,2.0
11,1.213949054479599,0.001,64.0,64.0,0.2,128.0,2.0
10,1.213970199227333,0.001,64.0,64.0,0.2,128.0,1.0
36,1.2140826508402824,0.0005,64.0,64.0,0.2,128.0,3.0
42,1.2140872478485107,0.0005,64.0,128.0,0.1,128.0,3.0
46,1.2141737937927246,0.0005,64.0,128.0,0.2,128.0,1.0
22,1.214356318116188,0.001,64.0,128.0,0.2,128.0,1.0
25,1.214610867202282,0.0005,64.0,64.0,0.1,64.0,1.0
35,1.2154142931103706,0.0005,64.0,64.0,0.2,128.0,2.0
40,1.2155005261301994,0.0005,64.0,128.0,0.1,128.0,1.0
37,1.2160127833485603,0.0005,64.0,128.0,0.1,64.0,1.0
