combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers
23,1.2121248543262482,0.001,64.0,128.0,0.2,128.0,2.0
22,1.2123247757554054,0.001,64.0,128.0,0.2,128.0,1.0
12,1.2123489305377007,0.001,64.0,64.0,0.2,128.0,3.0
21,1.212768279016018,0.001,64.0,128.0,0.2,64.0,3.0
2,1.213020846247673,0.001,64.0,64.0,0.1,64.0,2.0
9,1.2131472453474998,0.001,64.0,64.0,0.2,64.0,3.0
17,1.2132893428206444,0.001,64.0,128.0,0.1,128.0,2.0
44,1.2133575454354286,0.0005,64.0,128.0,0.2,64.0,2.0
42,1.2136008441448212,0.0005,64.0,128.0,0.1,128.0,3.0
11,1.2136079668998718,0.001,64.0,64.0,0.2,128.0,2.0
15,1.2136158794164658,0.001,64.0,128.0,0.1,64.0,3.0
18,1.213638886809349,0.001,64.0,128.0,0.1,128.0,3.0
7,1.2138721197843552,0.001,64.0,64.0,0.2,64.0,1.0
20,1.2140372321009636,0.001,64.0,128.0,0.2,64.0,2.0
6,1.2141942009329796,0.001,64.0,64.0,0.1,128.0,3.0
30,1.214353658258915,0.0005,64.0,64.0,0.1,128.0,3.0
14,1.2144532725214958,0.001,64.0,128.0,0.1,64.0,2.0
48,1.214633285999298,0.0005,64.0,128.0,0.2,128.0,3.0
8,1.2146921679377556,0.001,64.0,64.0,0.2,64.0,2.0
28,1.2147148996591568,0.0005,64.0,64.0,0.1,128.0,1.0
45,1.214731253683567,0.0005,64.0,128.0,0.2,64.0,3.0
19,1.214738205075264,0.001,64.0,128.0,0.2,64.0,1.0
24,1.2147795781493187,0.001,64.0,128.0,0.2,128.0,3.0
32,1.2148691937327385,0.0005,64.0,64.0,0.2,64.0,2.0
33,1.2148998901247978,0.0005,64.0,64.0,0.2,64.0,3.0
3,1.214906670153141,0.001,64.0,64.0,0.1,64.0,3.0
36,1.2149214074015617,0.0005,64.0,64.0,0.2,128.0,3.0
38,1.2150647193193436,0.0005,64.0,128.0,0.1,64.0,2.0
40,1.2150735259056091,0.0005,64.0,128.0,0.1,128.0,1.0
27,1.2152117192745209,0.0005,64.0,64.0,0.1,64.0,3.0
41,1.2154595702886581,0.0005,64.0,128.0,0.1,128.0,2.0
39,1.21549803763628,0.0005,64.0,128.0,0.1,64.0,3.0
29,1.2155690640211105,0.0005,64.0,64.0,0.1,128.0,2.0
47,1.2156278491020203,0.0005,64.0,128.0,0.2,128.0,2.0
37,1.2156331166625023,0.0005,64.0,128.0,0.1,64.0,1.0
4,1.2156578972935677,0.001,64.0,64.0,0.1,128.0,1.0
1,1.2156605571508408,0.001,64.0,64.0,0.1,64.0,1.0
31,1.215702697634697,0.0005,64.0,64.0,0.2,64.0,1.0
35,1.2158223614096642,0.0005,64.0,64.0,0.2,128.0,2.0
25,1.2158528864383698,0.0005,64.0,64.0,0.1,64.0,1.0
16,1.2160915061831474,0.001,64.0,128.0,0.1,128.0,1.0
46,1.216165967285633,0.0005,64.0,128.0,0.2,128.0,1.0
34,1.2163079902529716,0.0005,64.0,64.0,0.2,128.0,1.0
10,1.216604694724083,0.001,64.0,64.0,0.2,128.0,1.0
43,1.2167834714055061,0.0005,64.0,128.0,0.2,64.0,1.0
26,1.216807559132576,0.0005,64.0,64.0,0.1,64.0,2.0
13,1.2168344035744667,0.001,64.0,128.0,0.1,64.0,1.0
5,1.21770778298378,0.001,64.0,64.0,0.1,128.0,2.0
