combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers,mlp_hidden_layers,mlp_add_output_norm
122,1.2169619053602219,5e-05,64,64,0.2,64,1,1,False
74,1.2178868800401688,0.0001,64,128,0.2,64,1,1,False
127,1.2188062071800232,5e-05,64,64,0.2,64,2,2,True
86,1.2192332372069359,0.0001,64,128,0.2,128,1,1,False
3,1.2197134643793106,0.0001,64,64,0.1,64,1,2,True
148,1.2197554558515549,5e-05,64,128,0.1,64,1,2,False
75,1.219952017068863,0.0001,64,128,0.2,64,1,2,True
171,1.2201869785785675,5e-05,64,128,0.2,64,1,2,True
57,1.2204580828547478,0.0001,64,128,0.1,64,3,1,True
174,1.2206941097974777,5e-05,64,128,0.2,64,2,1,False
4,1.220698520541191,0.0001,64,64,0.1,64,1,2,False
121,1.2208460569381714,5e-05,64,64,0.2,64,1,1,True
78,1.220939114689827,0.0001,64,128,0.2,64,2,1,False
30,1.2213430479168892,0.0001,64,64,0.2,64,2,1,False
73,1.2218125313520432,0.0001,64,128,0.2,64,1,1,True
50,1.2219123914837837,0.0001,64,128,0.1,64,1,1,False
183,1.2221036851406097,5e-05,64,128,0.2,128,1,2,True
29,1.2224431037902832,0.0001,64,64,0.2,64,2,1,True
101,1.222550429403782,5e-05,64,64,0.1,64,2,1,True
28,1.2225898578763008,0.0001,64,64,0.2,64,1,2,False
147,1.2226485535502434,5e-05,64,128,0.1,64,1,2,True
81,1.2226638197898865,0.0001,64,128,0.2,64,3,1,True
145,1.2226703464984894,5e-05,64,128,0.1,64,1,1,True
25,1.2227075845003128,0.0001,64,64,0.2,64,1,1,True
51,1.2227867096662521,0.0001,64,128,0.1,64,1,2,True
135,1.2229121699929237,5e-05,64,64,0.2,128,1,2,True
111,1.2232437655329704,5e-05,64,64,0.1,128,1,2,True
123,1.2233707383275032,5e-05,64,64,0.2,64,1,2,True
182,1.2235194891691208,5e-05,64,128,0.2,128,1,1,False
89,1.223574511706829,0.0001,64,128,0.2,128,2,1,True
150,1.2236615717411041,5e-05,64,128,0.1,64,2,1,False
80,1.2237898409366608,0.0001,64,128,0.2,64,2,2,False
176,1.2238306254148483,5e-05,64,128,0.2,64,2,2,False
103,1.224148727953434,5e-05,64,64,0.1,64,2,2,True
88,1.2242119014263153,0.0001,64,128,0.2,128,1,2,False
159,1.2242470011115074,5e-05,64,128,0.1,128,1,2,True
56,1.2243799790740013,0.0001,64,128,0.1,64,2,2,False
85,1.2243805676698685,0.0001,64,128,0.2,128,1,1,True
173,1.224613331258297,5e-05,64,128,0.2,64,2,1,True
53,1.2246853038668633,0.0001,64,128,0.1,64,2,1,True
2,1.224717177450657,0.0001,64,64,0.1,64,1,1,False
1,1.2247806563973427,0.0001,64,64,0.1,64,1,1,True
38,1.224845975637436,0.0001,64,64,0.2,128,1,1,False
99,1.2249100655317307,5e-05,64,64,0.1,64,1,2,True
49,1.225134938955307,0.0001,64,128,0.1,64,1,1,True
152,1.2252499982714653,5e-05,64,128,0.1,64,2,2,False
184,1.225308246910572,5e-05,64,128,0.2,128,1,2,False
186,1.2253662645816803,5e-05,64,128,0.2,128,2,1,False
146,1.2254888638854027,5e-05,64,128,0.1,64,1,1,False
7,1.225557342171669,0.0001,64,64,0.1,64,2,2,True
158,1.2256172969937325,5e-05,64,128,0.1,128,1,1,False
77,1.2256986945867538,0.0001,64,128,0.2,64,2,1,True
54,1.2257867902517319,0.0001,64,128,0.1,64,2,1,False
26,1.2259159535169601,0.0001,64,64,0.2,64,1,1,False
65,1.226008154451847,0.0001,64,128,0.1,128,2,1,True
27,1.2260677069425583,0.0001,64,64,0.2,64,1,2,True
55,1.2261053174734116,0.0001,64,128,0.1,64,2,2,True
97,1.2261090725660324,5e-05,64,64,0.1,64,1,1,True
17,1.2261854782700539,0.0001,64,64,0.1,128,2,1,True
64,1.2261896878480911,0.0001,64,128,0.1,128,1,2,False
126,1.2262137085199356,5e-05,64,64,0.2,64,2,1,False
133,1.2262696847319603,5e-05,64,64,0.2,128,1,1,True
139,1.2262760996818542,5e-05,64,64,0.2,128,2,2,True
175,1.2263375520706177,5e-05,64,128,0.2,64,2,2,True
84,1.226498782634735,0.0001,64,128,0.2,64,3,2,False
11,1.2265050783753395,0.0001,64,64,0.1,64,3,2,True
157,1.2265865355730057,5e-05,64,128,0.1,128,1,1,True
125,1.2266138568520546,5e-05,64,64,0.2,64,2,1,True
124,1.2266836911439896,5e-05,64,64,0.2,64,1,2,False
82,1.2268313243985176,0.0001,64,128,0.2,64,3,1,False
61,1.2268468961119652,0.0001,64,128,0.1,128,1,1,True
160,1.2269544750452042,5e-05,64,128,0.1,128,1,2,False
63,1.2269855737686157,0.0001,64,128,0.1,128,1,2,True
66,1.2271651774644852,0.0001,64,128,0.1,128,2,1,False
90,1.2272452861070633,0.0001,64,128,0.2,128,2,1,False
161,1.2273633256554604,5e-05,64,128,0.1,128,2,1,True
110,1.2274532690644264,5e-05,64,64,0.1,128,1,1,False
187,1.2274828106164932,5e-05,64,128,0.2,128,2,2,True
128,1.2275027260184288,5e-05,64,64,0.2,64,2,2,False
100,1.2275470271706581,5e-05,64,64,0.1,64,1,2,False
